M,bits_per_symbol,p_loss,p_confuse,correct_rate,erasure_rate,symbol_error_rate,throughput_proxy,mode
2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,analytical
2,1.0,0.0,0.01,0.99,0.0,0.01,0.99,analytical
2,1.0,0.0,0.05,0.95,0.0,0.05,0.95,analytical
2,1.0,0.0,0.1,0.9,0.0,0.1,0.9,analytical
2,1.0,0.0,0.2,0.8,0.0,0.2,0.8,analytical
2,1.0,0.01,0.0,0.99,0.01,0.0,0.99,analytical
2,1.0,0.01,0.01,0.9801,0.01,0.0099,0.9801,analytical
2,1.0,0.01,0.05,0.9405,0.01,0.0495,0.9405,analytical
2,1.0,0.01,0.1,0.891,0.01,0.099,0.891,analytical
2,1.0,0.01,0.2,0.792,0.01,0.198,0.792,analytical
2,1.0,0.05,0.0,0.95,0.05,0.0,0.95,analytical
2,1.0,0.05,0.01,0.9405,0.05,0.0095,0.9405,analytical
2,1.0,0.05,0.05,0.9025,0.05,0.0475,0.9025,analytical
2,1.0,0.05,0.1,0.855,0.05,0.095,0.855,analytical
2,1.0,0.05,0.2,0.76,0.05,0.19,0.76,analytical
2,1.0,0.1,0.0,0.9,0.1,0.0,0.9,analytical
2,1.0,0.1,0.01,0.891,0.1,0.009,0.891,analytical
2,1.0,0.1,0.05,0.855,0.1,0.045,0.855,analytical
2,1.0,0.1,0.1,0.81,0.1,0.09,0.81,analytical
2,1.0,0.1,0.2,0.72,0.1,0.18,0.72,analytical
4,2.0,0.0,0.0,1.0,0.0,0.0,2.0,analytical
4,2.0,0.0,0.01,0.99,0.0,0.01,1.98,analytical
4,2.0,0.0,0.05,0.95,0.0,0.05,1.9,analytical
4,2.0,0.0,0.1,0.9,0.0,0.1,1.8,analytical
4,2.0,0.0,0.2,0.8,0.0,0.2,1.6,analytical
4,2.0,0.01,0.0,0.99,0.01,0.0,1.98,analytical
4,2.0,0.01,0.01,0.9801,0.01,0.0099,1.9602,analytical
4,2.0,0.01,0.05,0.9405,0.01,0.0495,1.881,analytical
4,2.0,0.01,0.1,0.891,0.01,0.099,1.782,analytical
4,2.0,0.01,0.2,0.792,0.01,0.198,1.584,analytical
4,2.0,0.05,0.0,0.95,0.05,0.0,1.9,analytical
4,2.0,0.05,0.01,0.9405,0.05,0.0095,1.881,analytical
4,2.0,0.05,0.05,0.9025,0.05,0.0475,1.805,analytical
4,2.0,0.05,0.1,0.855,0.05,0.095,1.71,analytical
4,2.0,0.05,0.2,0.76,0.05,0.19,1.52,analytical
4,2.0,0.1,0.0,0.9,0.1,0.0,1.8,analytical
4,2.0,0.1,0.01,0.891,0.1,0.009,1.782,analytical
4,2.0,0.1,0.05,0.855,0.1,0.045,1.71,analytical
4,2.0,0.1,0.1,0.81,0.1,0.09,1.62,analytical
4,2.0,0.1,0.2,0.72,0.1,0.18,1.44,analytical
8,3.0,0.0,0.0,1.0,0.0,0.0,3.0,analytical
8,3.0,0.0,0.01,0.99,0.0,0.01,2.97,analytical
8,3.0,0.0,0.05,0.95,0.0,0.05,2.85,analytical
8,3.0,0.0,0.1,0.9,0.0,0.1,2.7,analytical
8,3.0,0.0,0.2,0.8,0.0,0.2,2.4,analytical
8,3.0,0.01,0.0,0.99,0.01,0.0,2.97,analytical
8,3.0,0.01,0.01,0.9801,0.01,0.0099,2.9403,analytical
8,3.0,0.01,0.05,0.9405,0.01,0.0495,2.8215,analytical
8,3.0,0.01,0.1,0.891,0.01,0.099,2.673,analytical
8,3.0,0.01,0.2,0.792,0.01,0.198,2.376,analytical
8,3.0,0.05,0.0,0.95,0.05,0.0,2.85,analytical
8,3.0,0.05,0.01,0.9405,0.05,0.0095,2.8215,analytical
8,3.0,0.05,0.05,0.9025,0.05,0.0475,2.7075,analytical
8,3.0,0.05,0.1,0.855,0.05,0.095,2.565,analytical
8,3.0,0.05,0.2,0.76,0.05,0.19,2.28,analytical
8,3.0,0.1,0.0,0.9,0.1,0.0,2.7,analytical
8,3.0,0.1,0.01,0.891,0.1,0.009,2.673,analytical
8,3.0,0.1,0.05,0.855,0.1,0.045,2.565,analytical
8,3.0,0.1,0.1,0.81,0.1,0.09,2.43,analytical
8,3.0,0.1,0.2,0.72,0.1,0.18,2.16,analytical
16,4.0,0.0,0.0,1.0,0.0,0.0,4.0,analytical
16,4.0,0.0,0.01,0.99,0.0,0.01,3.96,analytical
16,4.0,0.0,0.05,0.95,0.0,0.05,3.8,analytical
16,4.0,0.0,0.1,0.9,0.0,0.1,3.6,analytical
16,4.0,0.0,0.2,0.8,0.0,0.2,3.2,analytical
16,4.0,0.01,0.0,0.99,0.01,0.0,3.96,analytical
16,4.0,0.01,0.01,0.9801,0.01,0.0099,3.9204,analytical
16,4.0,0.01,0.05,0.9405,0.01,0.0495,3.762,analytical
16,4.0,0.01,0.1,0.891,0.01,0.099,3.564,analytical
16,4.0,0.01,0.2,0.792,0.01,0.198,3.168,analytical
16,4.0,0.05,0.0,0.95,0.05,0.0,3.8,analytical
16,4.0,0.05,0.01,0.9405,0.05,0.0095,3.762,analytical
16,4.0,0.05,0.05,0.9025,0.05,0.0475,3.61,analytical
16,4.0,0.05,0.1,0.855,0.05,0.095,3.42,analytical
16,4.0,0.05,0.2,0.76,0.05,0.19,3.04,analytical
16,4.0,0.1,0.0,0.9,0.1,0.0,3.6,analytical
16,4.0,0.1,0.01,0.891,0.1,0.009,3.564,analytical
16,4.0,0.1,0.05,0.855,0.1,0.045,3.42,analytical
16,4.0,0.1,0.1,0.81,0.1,0.09,3.24,analytical
16,4.0,0.1,0.2,0.72,0.1,0.18,2.88,analytical
32,5.0,0.0,0.0,1.0,0.0,0.0,5.0,analytical
32,5.0,0.0,0.01,0.99,0.0,0.01,4.95,analytical
32,5.0,0.0,0.05,0.95,0.0,0.05,4.75,analytical
32,5.0,0.0,0.1,0.9,0.0,0.1,4.5,analytical
32,5.0,0.0,0.2,0.8,0.0,0.2,4.0,analytical
32,5.0,0.01,0.0,0.99,0.01,0.0,4.95,analytical
32,5.0,0.01,0.01,0.9801,0.01,0.0099,4.9005,analytical
32,5.0,0.01,0.05,0.9405,0.01,0.0495,4.7025,analytical
32,5.0,0.01,0.1,0.891,0.01,0.099,4.455,analytical
32,5.0,0.01,0.2,0.792,0.01,0.198,3.96,analytical
32,5.0,0.05,0.0,0.95,0.05,0.0,4.75,analytical
32,5.0,0.05,0.01,0.9405,0.05,0.0095,4.7025,analytical
32,5.0,0.05,0.05,0.9025,0.05,0.0475,4.5125,analytical
32,5.0,0.05,0.1,0.855,0.05,0.095,4.275,analytical
32,5.0,0.05,0.2,0.76,0.05,0.19,3.8,analytical
32,5.0,0.1,0.0,0.9,0.1,0.0,4.5,analytical
32,5.0,0.1,0.01,0.891,0.1,0.009,4.455,analytical
32,5.0,0.1,0.05,0.855,0.1,0.045,4.275,analytical
32,5.0,0.1,0.1,0.81,0.1,0.09,4.05,analytical
32,5.0,0.1,0.2,0.72,0.1,0.18,3.6,analytical
64,6.0,0.0,0.0,1.0,0.0,0.0,6.0,analytical
64,6.0,0.0,0.01,0.99,0.0,0.01,5.94,analytical
64,6.0,0.0,0.05,0.95,0.0,0.05,5.7,analytical
64,6.0,0.0,0.1,0.9,0.0,0.1,5.4,analytical
64,6.0,0.0,0.2,0.8,0.0,0.2,4.8,analytical
64,6.0,0.01,0.0,0.99,0.01,0.0,5.94,analytical
64,6.0,0.01,0.01,0.9801,0.01,0.0099,5.8806,analytical
64,6.0,0.01,0.05,0.9405,0.01,0.0495,5.643,analytical
64,6.0,0.01,0.1,0.891,0.01,0.099,5.346,analytical
64,6.0,0.01,0.2,0.792,0.01,0.198,4.752,analytical
64,6.0,0.05,0.0,0.95,0.05,0.0,5.7,analytical
64,6.0,0.05,0.01,0.9405,0.05,0.0095,5.643,analytical
64,6.0,0.05,0.05,0.9025,0.05,0.0475,5.415,analytical
64,6.0,0.05,0.1,0.855,0.05,0.095,5.13,analytical
64,6.0,0.05,0.2,0.76,0.05,0.19,4.56,analytical
64,6.0,0.1,0.0,0.9,0.1,0.0,5.4,analytical
64,6.0,0.1,0.01,0.891,0.1,0.009,5.346,analytical
64,6.0,0.1,0.05,0.855,0.1,0.045,5.13,analytical
64,6.0,0.1,0.1,0.81,0.1,0.09,4.86,analytical
64,6.0,0.1,0.2,0.72,0.1,0.18,4.32,analytical
128,7.0,0.0,0.0,1.0,0.0,0.0,7.0,analytical
128,7.0,0.0,0.01,0.99,0.0,0.01,6.93,analytical
128,7.0,0.0,0.05,0.95,0.0,0.05,6.65,analytical
128,7.0,0.0,0.1,0.9,0.0,0.1,6.3,analytical
128,7.0,0.0,0.2,0.8,0.0,0.2,5.6,analytical
128,7.0,0.01,0.0,0.99,0.01,0.0,6.93,analytical
128,7.0,0.01,0.01,0.9801,0.01,0.0099,6.8607,analytical
128,7.0,0.01,0.05,0.9405,0.01,0.0495,6.5835,analytical
128,7.0,0.01,0.1,0.891,0.01,0.099,6.237,analytical
128,7.0,0.01,0.2,0.792,0.01,0.198,5.544,analytical
128,7.0,0.05,0.0,0.95,0.05,0.0,6.65,analytical
128,7.0,0.05,0.01,0.9405,0.05,0.0095,6.5835,analytical
128,7.0,0.05,0.05,0.9025,0.05,0.0475,6.3175,analytical
128,7.0,0.05,0.1,0.855,0.05,0.095,5.985,analytical
128,7.0,0.05,0.2,0.76,0.05,0.19,5.32,analytical
128,7.0,0.1,0.0,0.9,0.1,0.0,6.3,analytical
128,7.0,0.1,0.01,0.891,0.1,0.009,6.237,analytical
128,7.0,0.1,0.05,0.855,0.1,0.045,5.985,analytical
128,7.0,0.1,0.1,0.81,0.1,0.09,5.67,analytical
128,7.0,0.1,0.2,0.72,0.1,0.18,5.04,analytical
